Step,CC,CD,DC,DD
952,609,1602,4,11
953,617,1588,5,13
954,637,1575,5,11
955,629,1597,5,11
956,637,1590,4,10
957,613,1578,4,8
958,624,1613,4,7
959,620,1578,4,7
960,622,1594,6,8
961,614,1621,6,11
962,608,1598,6,12
963,607,1610,5,12
964,614,1609,5,12
965,609,1595,4,12
966,614,1573,3,12
967,609,1591,3,16
968,584,1588,2,17
969,617,1606,2,15
970,602,1607,2,15
971,597,1611,2,15
972,597,1607,3,17
973,593,1617,1,14
974,604,1627,2,14
975,615,1623,2,15
976,595,1632,3,13
977,608,1624,3,15
978,587,1604,3,13
979,577,1644,2,15
980,580,1622,2,14
981,587,1663,2,11
982,577,1639,3,12
983,570,1647,3,12
984,579,1657,2,12
985,593,1632,2,14
986,588,1627,4,14
987,581,1615,4,14
988,592,1621,5,13
989,608,1619,5,12
990,605,1624,5,9
991,599,1617,5,8
992,601,1614,4,9
993,603,1612,4,8
994,604,1593,4,8
995,613,1600,3,9
996,612,1600,4,9
997,625,1601,6,11
998,621,1605,6,9
999,617,1622,5,8
1000,601,1619,6,6
